clave,fecha,lat,lon,CRW_SST,CRW_SSTANOMALY,CRW_HOTSPOT,CRW_DHW,estado
2021-08-14|10.325|-75.575,2021-08-14,10.301111,-75.587222,29.43,0.36,0.36,0.0,ok
2021-06-18|18.425|-76.975,2021-06-18,18.409806,-76.978806,28.54,0.32,-0.67,0.0,ok
2025-04-19|-8.325|116.025,2025-04-19,-8.337639,116.037639,29.55,0.51,0.48,0.0,ok
2024-09-17|2.525|103.975,2024-09-17,2.536750,103.969972,29.37,0.75,-0.23,0.0,ok
2021-04-10|2.775|104.125,2021-04-10,2.792389,104.123028,29.63,0.33,0.04,0.0,ok
2024-02-13|-8.375|116.025,2024-02-13,-8.357222,116.042889,29.580000000000002,1.12,0.55,6.33,ok
2024-09-26|19.725|-156.075,2024-09-26,19.732222,-156.059639,27.09,-0.1,-0.16,0.0,ok
2023-05-16|6.725|116.325,2023-05-16,6.706472,116.334722,29.95,0.43,-0.02,0.0,ok
2022-05-28|-20.075|148.925,2022-05-28,-20.065806,148.948111,25.23,1.06,-2.96,1.95,ok
2021-11-03|5.725|115.675,2021-11-03,5.712806,115.672444,30.23,0.96,0.24,0.0,ok
2021-12-11|14.475|-60.925,2021-12-11,14.461639,-60.925361,27.84,0.54,-0.52,3.39,vecino
2021-03-19|-18.525|146.475,2021-03-19,-18.544333,146.488575,29.02,1.12,0.23,0.15,ok
2024-07-10|4.825|118.275,2024-07-10,4.812000,118.289361,30.060000000000002,1.21,0.33,9.620000000000001,ok
2021-11-05|4.925|118.175,2021-11-05,4.908500,118.177389,30.55,1.41,0.8,0.0,vecino
2025-12-03|-16.475|-151.775,2025-12-03,-16.499028,-151.757333,27.64,-0.05,-1.3,0.0,ok
2024-05-02|5.725|102.975,2024-05-02,5.746917,102.999833,30.990000000000002,1.24,1.07,1.09,ok
2021-03-19|13.325|-81.425,2021-03-19,13.328056,-81.411694,27.07,0.33,-1.37,0.0,ok
2022-08-22|2.575|103.975,2022-08-22,2.552444,103.960306,28.98,0.46,-0.62,0.0,ok
2025-06-25|2.525|103.975,2025-06-25,2.548556,103.960028,29.35,0.23,-0.25,0.0,ok
2022-02-19|-26.675|153.225,2022-02-19,-26.654217,153.200951,25.94,-0.2,-0.29,0.31,ok
2024-05-21|2.725|104.125,2024-05-21,2.732139,104.135417,30.240000000000002,0.73,0.65,5.11,ok
2025-02-27|19.625|-156.025,2025-02-27,19.647333,-156.022917,25.36,0.78,-1.8800000000000001,0.0,ok
2025-12-04|-13.325|48.175,2025-12-04,-13.319167,48.160556,29.41,1.23,0.26,0.0,ok
2025-05-30|14.525|-61.075,2025-05-30,14.521111,-61.096194,28.09,0.8,-0.36,0.0,ok
2023-10-15|-20.075|148.875,2023-10-15,-20.082280,148.890766,24.37,-0.28,-3.84,0.0,ok
2021-08-15|10.325|-75.575,2021-08-15,10.312278,-75.585833,29.59,0.52,0.52,0.0,ok
2024-11-17|21.725|39.075,2024-11-17,21.732139,39.068778,30.25,1.06,-0.39,3.14,vecino
2023-05-16|2.475|104.525,2023-05-16,2.477528,104.504528,30.09,0.46,0.45,0.15,ok
2023-12-13|-8.675|115.475,2023-12-13,-8.664639,115.468000,29.46,1.01,0.98,0.77,ok
2024-08-07|4.575|118.775,2024-08-07,4.585444,118.785917,29.82,1.25,0.54,2.47,ok
2023-09-24|-4.525|129.775,2023-09-24,-4.527389,129.766000,27.01,0.01,-2.17,0.0,ok
2025-06-19|2.425|103.975,2025-06-19,2.442389,103.973083,29.43,0.22,-0.18,0.0,ok
2023-10-08|2.525|103.975,2023-10-08,2.515556,103.977528,29.42,0.65,-0.18,0.0,ok
2023-10-15|-20.025|148.875,2023-10-15,-20.039000,148.875833,24.46,-0.23,-3.7600000000000002,0.0,ok
2025-05-29|-16.525|-151.725,2025-05-29,-16.529667,-151.728194,28.62,0.6,-0.32,0.0,vecino
2023-11-14|6.025|116.025,2023-11-14,6.041389,116.019722,30.86,1.59,0.79,0.0,ok
2024-04-20|2.925|104.125,2024-04-20,2.914861,104.108444,30.75,1.29,1.16,0.5,ok
2024-10-17|-8.325|116.025,2024-10-17,-8.337639,116.037639,28.91,0.77,-0.16,0.0,ok
2022-09-27|2.475|103.975,2022-09-27,2.493778,103.954306,28.72,0.03,-0.89,0.0,ok
2022-09-18|2.475|103.975,2022-09-18,2.458389,103.979306,28.79,0.16,-0.8200000000000001,0.0,ok
2021-03-02|-27.375|153.225,2021-03-02,-27.399142,153.233027,27.35,1.74,1.09,0.77,ok
2023-11-02|4.575|118.575,2023-11-02,4.564639,118.593194,30.66,1.76,1.25,1.6,ok
2024-06-21|2.575|103.925,2024-06-21,2.560556,103.947694,29.8,0.62,0.19,7.57,ok
2021-09-07|4.625|118.825,2021-09-07,4.628306,118.835194,29.88,1.1500000000000001,0.61,0.0,ok
2021-04-01|4.225|118.625,2021-04-01,4.242167,118.625250,29.47,0.9,0.24,0.0,ok
2022-07-06|5.825|102.625,2022-07-06,5.830472,102.616028,30.17,0.58,0.17,0.22,ok
2025-12-23|19.725|-156.075,2025-12-23,19.706778,-156.050028,26.310000000000002,0.96,-0.9400000000000001,0.0,ok
2023-02-21|-8.375|116.025,2023-02-21,-8.357222,116.042889,28.2,-0.26,-0.8300000000000001,0.3,ok
2024-05-17|5.225|103.275,2024-05-17,5.224472,103.260972,30.830000000000002,1.19,1.17,4.88,ok
2022-07-05|18.825|-66.675,2022-07-05,18.825278,-66.670556,28.23,0.44,-0.28,0.0,ok
2024-09-30|5.825|102.875,2024-09-30,5.802472,102.893556,30.0,1.06,0.06,0.0,ok
2022-03-11|4.025|100.525,2022-03-11,4.022389,100.547889,30.0,0.8300000000000001,0.24,0.0,ok
2024-03-19|3.975|100.525,2024-03-19,3.994167,100.534139,30.77,1.49,1.01,1.19,ok
2021-11-21|-16.925|145.975,2021-11-21,-16.925140,145.990480,28.080000000000002,0.71,-0.6900000000000001,0.0,ok
2025-04-15|-8.725|115.475,2025-04-15,-8.700682,115.468290,29.47,0.99,0.99,0.58,vecino
2022-10-02|2.525|103.975,2022-10-02,2.527806,103.972028,29.03,0.3,-0.5700000000000001,0.0,ok
2024-11-07|5.975|115.975,2024-11-07,5.970778,115.994306,30.5,1.21,0.44,0.0,ok
2022-10-23|-19.125|146.875,2022-10-23,-19.148333,146.870278,27.57,1.53,-1.22,0.0,ok
2022-12-16|7.025|117.025,2022-12-16,7.034583,117.003111,28.94,0.72,-0.8200000000000001,0.0,ok
2021-09-11|2.475|103.975,2021-09-11,2.456806,103.971639,28.900000000000002,0.3,-0.71,0.0,ok
2024-05-15|2.575|104.325,2024-05-15,2.596667,104.327250,30.810000000000002,1.21,1.21,4.5600000000000005,ok
2024-05-13|2.475|104.525,2024-05-13,2.472806,104.508028,30.95,1.33,1.31,3.66,ok
2023-08-26|5.575|103.075,2023-08-26,5.598889,103.064194,30.19,1.27,0.34,0.0,ok
2021-02-12|27.175|33.975,2021-02-12,27.186694,33.983833,23.56,1.3900000000000001,-4.51,0.0,ok
2025-02-27|-8.775|115.875,2025-02-27,-8.750472,115.891333,29.080000000000002,0.72,0.44,0.0,ok
2021-10-02|-16.525|-151.725,2021-10-02,-16.542694,-151.740778,27.04,0.16,-1.9000000000000001,0.0,vecino
2024-12-15|-26.825|32.875,2024-12-15,-26.813444,32.894611,26.48,1.19,-0.49,0.0,ok
2023-09-12|2.575|103.925,2023-09-12,2.558500,103.942306,28.84,0.23,-0.77,0.0,ok
2024-05-28|5.975|116.025,2024-05-28,5.967778,116.012611,30.990000000000002,1.21,0.92,4.34,ok
2021-12-01|-20.075|148.875,2021-12-01,-20.082280,148.890766,27.97,1.09,-0.24,0.0,ok
2022-05-22|6.375|116.325,2022-05-22,6.368444,116.318944,30.060000000000002,0.35000000000000003,0.0,0.0,ok
2024-07-06|27.175|33.975,2024-07-06,27.186694,33.983833,29.26,2.63,1.19,1.54,ok
2024-10-10|4.275|73.475,2024-10-10,4.268917,73.495000,28.900000000000002,0.67,-0.76,0.0,ok
2023-06-10|5.725|115.625,2023-06-10,5.720222,115.644806,30.740000000000002,0.8300000000000001,0.76,0.6,ok
2021-09-08|4.625|118.775,2021-09-08,4.602250,118.768167,29.85,1.1,0.55,0.0,ok
2025-07-13|19.675|-156.025,2025-07-13,19.692500,-156.046250,26.46,0.11,-0.78,0.0,vecino
2024-05-12|2.575|104.325,2024-05-12,2.570611,104.321778,30.84,1.26,1.24,4.03,ok
2023-04-18|18.375|-68.825,2023-04-18,18.363540,-68.841261,27.13,0.46,-1.41,0.0,vecino
2021-09-16|4.125|118.625,2021-09-16,4.107500,118.636278,29.57,0.78,0.33,0.0,ok
